Mapping parameters for Apostichopus parvimensis ()

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."


Map data (HSPEC) for predicted occurrences (n = 244): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Apostichopus,parvimensis,-24.25,-70.25,5207:140:1,0.59
Apostichopus,parvimensis,-29.25,-71.25,5207:391:1,0.47
Apostichopus,parvimensis,-39.25,-73.25,5307:393:1,0.41
Apostichopus,parvimensis,-40.75,-73.75,5407:103:4,0.42
Apostichopus,parvimensis,-41.75,-74.25,5407:114:3,0.43
Apostichopus,parvimensis,-42.25,-74.25,5407:124:1,0.42
Apostichopus,parvimensis,0.25,-80.25,7008:100:1,0.40
Apostichopus,parvimensis,0.25,-91.25,7009:101:1,0.49
Apostichopus,parvimensis,0.25,-91.75,7009:101:2,0.40
Apostichopus,parvimensis,27.25,-114.25,7211:374:1,0.43
Apostichopus,parvimensis,29.75,-115.25,7211:495:3,0.52
Apostichopus,parvimensis,30.75,-115.75,7311:205:4,0.45
Apostichopus,parvimensis,34.75,-120.75,7312:140:4,0.59
Apostichopus,parvimensis,35.75,-121.25,7312:351:3,0.48
Apostichopus,parvimensis,-27.75,-70.75,5207:370:4,0.69
Apostichopus,parvimensis,-0.75,-80.75,5008:100:4,0.64
Apostichopus,parvimensis,-1.25,-80.75,5008:110:2,0.74
Apostichopus,parvimensis,-1.75,-80.75,5008:110:4,0.73
Apostichopus,parvimensis,-2.25,-80.75,5008:120:2,0.62
Apostichopus,parvimensis,-24.75,-70.25,5207:140:3,0.70
Apostichopus,parvimensis,-25.25,-70.25,5207:350:1,0.79
Apostichopus,parvimensis,-29.75,-71.25,5207:391:3,0.62
Apostichopus,parvimensis,-30.25,-71.25,5307:101:1,0.73
Apostichopus,parvimensis,-31.75,-71.25,5307:111:3,0.74
Apostichopus,parvimensis,-32.25,-71.25,5307:121:1,0.71
Apostichopus,parvimensis,-32.75,-71.25,5307:121:3,0.64
Apostichopus,parvimensis,26.75,-113.25,7211:363:3,0.62
Apostichopus,parvimensis,26.75,-113.75,7211:363:4,0.66
Apostichopus,parvimensis,27.25,-114.75,7211:374:2,0.74
Apostichopus,parvimensis,30.25,-115.75,7311:205:2,0.65
Apostichopus,parvimensis,31.25,-116.25,7311:216:1,0.76
Apostichopus,parvimensis,33.25,-117.25,7311:237:1,0.73
Apostichopus,parvimensis,34.75,-120.25,7312:140:3,0.77
Apostichopus,parvimensis,35.25,-120.75,7312:350:2,0.60
Apostichopus,parvimensis,-1.25,-81.25,5008:111:1,0.86
Apostichopus,parvimensis,-1.75,-81.25,5008:111:3,1.00
Apostichopus,parvimensis,-2.25,-81.25,5008:121:1,0.92
Apostichopus,parvimensis,28.25,-114.25,7211:384:1,0.91
Apostichopus,parvimensis,28.75,-114.75,7211:384:4,0.92
Apostichopus,parvimensis,29.25,-115.25,7211:495:1,1.00
Apostichopus,parvimensis,29.75,-115.75,7211:495:4,0.87
Apostichopus,parvimensis,30.25,-116.25,7311:206:1,0.98
Apostichopus,parvimensis,30.75,-116.25,7311:206:3,0.98
Apostichopus,parvimensis,31.25,-116.75,7311:216:2,0.99
Apostichopus,parvimensis,31.75,-116.75,7311:216:4,1.00
Apostichopus,parvimensis,32.25,-116.75,7311:226:2,0.91
Apostichopus,parvimensis,32.25,-117.25,7311:227:1,1.00
