Mapping parameters for Strongylocentrotus purpuratus (purple urchin)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."


Map data (HSPEC) for predicted occurrences (n = 1388): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Strongylocentrotus,purpuratus,31.75,-114.25,7311:114:3,0.13
Strongylocentrotus,purpuratus,31.75,-114.75,7311:114:4,0.03
Strongylocentrotus,purpuratus,37.75,-122.25,7312:372:3,0.19
Strongylocentrotus,purpuratus,46.25,-123.25,7412:363:1,0.02
Strongylocentrotus,purpuratus,46.25,-123.75,7412:363:2,0.09
Strongylocentrotus,purpuratus,46.25,-124.25,7412:364:1,0.16
Strongylocentrotus,purpuratus,47.25,-122.25,7412:372:1,0.16
Strongylocentrotus,purpuratus,47.75,-122.25,7412:372:3,0.11
Strongylocentrotus,purpuratus,47.75,-123.25,7412:373:3,0.01
Strongylocentrotus,purpuratus,48.25,-122.25,7412:382:1,0.09
Strongylocentrotus,purpuratus,48.75,-122.25,7412:382:3,0.11
Strongylocentrotus,purpuratus,48.25,-123.25,7412:383:1,0.09
Strongylocentrotus,purpuratus,48.25,-123.75,7412:383:2,0.11
Strongylocentrotus,purpuratus,48.75,-123.25,7412:383:3,0.19
Strongylocentrotus,purpuratus,49.75,-123.25,7412:393:3,0.02
Strongylocentrotus,purpuratus,49.75,-124.75,7412:394:4,0.19
Strongylocentrotus,purpuratus,49.25,-125.25,7412:495:1,0.09
Strongylocentrotus,purpuratus,49.75,-126.25,7412:496:3,0.06
Strongylocentrotus,purpuratus,46.75,-130.75,7413:360:4,0.16
Strongylocentrotus,purpuratus,50.25,-123.75,7512:103:2,0.02
Strongylocentrotus,purpuratus,50.25,-124.25,7512:104:1,0.02
Strongylocentrotus,purpuratus,50.25,-124.75,7512:104:2,0.19
Strongylocentrotus,purpuratus,50.75,-124.75,7512:104:4,0.03
Strongylocentrotus,purpuratus,50.25,-125.25,7512:205:1,0.18
Strongylocentrotus,purpuratus,50.75,-125.25,7512:205:3,0.03
Strongylocentrotus,purpuratus,50.75,-125.75,7512:205:4,0.03
Strongylocentrotus,purpuratus,51.25,-125.75,7512:215:2,0.05
Strongylocentrotus,purpuratus,51.25,-126.75,7512:216:2,0.06
Strongylocentrotus,purpuratus,51.75,-127.25,7512:217:3,0.12
Strongylocentrotus,purpuratus,51.25,-129.75,7512:219:2,0.16
Strongylocentrotus,purpuratus,52.25,-127.25,7512:227:1,0.06
Strongylocentrotus,purpuratus,52.75,-127.25,7512:227:3,0.06
Strongylocentrotus,purpuratus,52.75,-127.75,7512:227:4,0.06
Strongylocentrotus,purpuratus,53.25,-128.25,7512:238:1,0.06
Strongylocentrotus,purpuratus,53.25,-128.75,7512:238:2,0.12
Strongylocentrotus,purpuratus,53.75,-128.25,7512:238:3,0.06
Strongylocentrotus,purpuratus,54.25,-128.75,7512:248:2,0.06
Strongylocentrotus,purpuratus,55.75,-129.75,7512:459:4,0.05
Strongylocentrotus,purpuratus,54.75,-134.25,7513:144:3,0.04
Strongylocentrotus,purpuratus,55.75,-135.25,7513:455:3,0.04
Strongylocentrotus,purpuratus,56.25,-135.75,7513:465:2,0.02
Strongylocentrotus,purpuratus,57.75,-137.75,7513:477:4,0.12
Strongylocentrotus,purpuratus,58.75,-140.75,7514:380:4,0.07
Strongylocentrotus,purpuratus,57.75,-149.25,7514:479:3,0.08
Strongylocentrotus,purpuratus,57.25,-150.25,7515:370:1,0.04
Strongylocentrotus,purpuratus,51.75,-171.75,7517:111:4,0.15
Strongylocentrotus,purpuratus,51.75,-172.25,7517:112:3,0.05
Strongylocentrotus,purpuratus,52.75,-172.25,7517:122:3,0.10
Strongylocentrotus,purpuratus,53.25,-170.25,7517:130:1,0.16
Strongylocentrotus,purpuratus,60.25,-148.75,7614:208:2,0.05
Strongylocentrotus,purpuratus,60.75,-148.75,7614:208:4,0.09
Strongylocentrotus,purpuratus,-28.25,153.75,3215:383:2,0.21
Strongylocentrotus,purpuratus,-28.75,153.75,3215:383:4,0.22
Strongylocentrotus,purpuratus,-29.25,153.25,3215:393:1,0.27
Strongylocentrotus,purpuratus,-29.25,153.75,3215:393:2,0.23
Strongylocentrotus,purpuratus,-29.75,153.25,3215:393:3,0.28
Strongylocentrotus,purpuratus,-29.75,153.75,3215:393:4,0.23
